HOUSE URL,HOME STATUS,HOUSE TYPE,PRICE($),STREET,CITY,STATE,ZIP CODE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,HOUSE SIZE (sqft),LOT SIZE,RENT ZESTIMATE
https://www.zillow.com/homedetails/3704-Tamil-St-Austin-TX-78749/29486385_zpid/,,SINGLE FAMILY,"$414,000",3704 Tamil St,Austin,TX,78749,3,2,1116,6930.396 sqft,
https://www.zillow.com/homedetails/502-Oakley-Ct-Austin-TX-78753/29423798_zpid/,,SINGLE FAMILY,"$284,900",502 Oakley Ct,Austin,TX,78753,3,2,960,10219.176 sqft,1796
https://www.zillow.com/homedetails/8520-Bradford-Dr-Austin-TX-78758/29423530_zpid/,,SINGLE FAMILY,"$410,000",8520 Bradford Dr,Austin,TX,78758,3,1,992,7736.256 sqft,1807
https://www.zillow.com/homedetails/7008-Beckett-Rd-Austin-TX-78749/29483498_zpid/,,SINGLE FAMILY,"$409,900",7008 Beckett Rd,Austin,TX,78749,3,2,1606,9012.564 sqft,3706
https://www.zillow.com/homedetails/5906-Angora-Pass-Austin-TX-78724/449954238_zpid/,,SINGLE FAMILY,"$139,000",5906 Angora Pass,Austin,TX,78724,3,2,1512, ,
https://www.zillow.com/homedetails/9906-Oak-Run-Dr-Austin-TX-78758/29431089_zpid/,,SINGLE FAMILY,"$378,000",9906 Oak Run Dr,Austin,TX,78758,3,2,1712,8067.312 sqft,1968
https://www.zillow.com/homedetails/1310-W-Parmer-Ln-APT-3201-Austin-TX-78727/114406395_zpid/,,CONDO,"$250,000",1310 W Parmer Ln APT 3201,Austin,TX,78727,2,2,1090, ,1669
https://www.zillow.com/homedetails/5600-Lakeview-Dr-Austin-TX-78734/448132784_zpid/,,SINGLE FAMILY,"$325,000",5600 Lakeview Dr,Austin,TX,78734,3,2,1611,0.4383 acres,
https://www.zillow.com/homedetails/6903-Deatonhill-Dr-APT-19-Austin-TX-78745/58315043_zpid/,,CONDO,"$99,900",6903 Deatonhill Dr APT 19,Austin,TX,78745,1,1,672,1611.72 sqft,1242
https://www.zillow.com/homedetails/6210-Larch-Ter-B-Austin-TX-78741/401745287_zpid/,,SINGLE FAMILY,"$350,000",6210 Larch Ter #B,Austin,TX,78741,2,3,1055,7074.144 sqft,
